node,children_node
slump_risk_predict,AssetsAdjustDeviationLyr
slump_risk_predict,AssetsTurnoverIndustryDeviationLr
slump_risk_predict,AuditAbnormal
slump_risk_predict,CashAccountAbnormal
slump_risk_predict,CashAndLoanAbnormal
slump_risk_predict,CashflowAccountAbnormal
slump_risk_predict,CashRatioLr
slump_risk_predict,CashRecoveryRateIndustryDeviationTtm
slump_risk_predict,Cash_InteretMultiIndustryDeviationLyr
slump_risk_predict,ComputedInterestRatioLyr
slump_risk_predict,CurrentRatioIndustryDeviationLr
slump_risk_predict,DeferredExpenseAbnormalSignal
slump_risk_predict,DeferredExpenseGrowthLyr
slump_risk_predict,EBIT2InterestBearingDebtLyr
slump_risk_predict,EquotionAbnormal
slump_risk_predict,Expense2RevenueGrowthAbnormal
slump_risk_predict,ExpenseAndRevenueGrowthDeviation
slump_risk_predict,ExpenseCostAbnormal
slump_risk_predict,FinanceAndInvestmentAmountConflict
slump_risk_predict,GoodWill2NetAssetsLr
slump_risk_predict,Goodwill2ProfitLr
slump_risk_predict,GrossMarginAbnormal
slump_risk_predict,GrossMarginAndSAFRExpenseRatioAbnormal
slump_risk_predict,GrossMarginGrowthLyr
slump_risk_predict,GrossMarginIndustryDeviationTtm
slump_risk_predict,GrossMarginStdTtm
slump_risk_predict,GrossMarginTtm
slump_risk_predict,GrowthAbnormal
slump_risk_predict,IncomeTaxAbnormal
slump_risk_predict,IncomeTaxRateAbnormalLyr
slump_risk_predict,IntangibleRatioLr
slump_risk_predict,InterestBearingRatioLr
slump_risk_predict,InterestExpense2InterestBearingDebtLyr
slump_risk_predict,InterestRateDiff
slump_risk_predict,InteretMultiIndustryDeviationLyr
slump_risk_predict,InventoryAbnormal
slump_risk_predict,InventoryAndRevenueGrowthConflict
slump_risk_predict,InventoryOpreateRevenueGrwothDeviationTtm
slump_risk_predict,InventoryRatioLyr
slump_risk_predict,InventoryTurnoverAndGrossMarginConflict
slump_risk_predict,InventoryTurnoverGrowthLyr
slump_risk_predict,InventoryTurnoverIndustryDeviationTtm
slump_risk_predict,Liability2AssetsIndustryDeviationLr
slump_risk_predict,Liability2AssetsLr
slump_risk_predict,Liability2AssetsLrGrowth
slump_risk_predict,LiabilityAdjustDeviationLyr
slump_risk_predict,MarketShareLTGrowthLyr
slump_risk_predict,NegaMarketShareGrowth
slump_risk_predict,NegaNetAssetsGrowth
slump_risk_predict,NegeRevenueGrowth
slump_risk_predict,NetAssetsAdjustDeviationLyr
slump_risk_predict,NetAssetsGrwothLr
slump_risk_predict,NetOperateCashflow
slump_risk_predict,NetOperateCashflow2ARGrowthDeviation
slump_risk_predict,NetOperateCashFlow2ARGrwothTtm
slump_risk_predict,NetOperateCashFlow2NetOperateProfitTtm
slump_risk_predict,NetOperateCashflowAbnormal
slump_risk_predict,NetOperateCashflowCumu5Year
slump_risk_predict,NetOperateCashFlowGrowth2RevenueGrwothTtm
slump_risk_predict,NetprofitIndustryDeviationTtm
slump_risk_predict,NonOperIncome2NetProfitTtm
slump_risk_predict,OperateCashFlowIn2RevenueGrowthTtm
slump_risk_predict,OperateCashflowInAbnormal
slump_risk_predict,OperateCashFlowInAdjustDeviationLyr
slump_risk_predict,OperateCashIn2RevenuGrwothConflict
slump_risk_predict,OperateProfitAbnormal
slump_risk_predict,OperateProfitAdjustDeviationLyr
slump_risk_predict,OperateProfitLyr
slump_risk_predict,OperateRevenueAdjustDeviationLyr
slump_risk_predict,OperateRevenueGrowthLyr
slump_risk_predict,OperateRevenueGrowthTtm
slump_risk_predict,OperationAbnormal
slump_risk_predict,OpinionAbnormal
slump_risk_predict,ORMergeAndParentDevationAbnormal
slump_risk_predict,OtherARAbnroaml
slump_risk_predict,OtherARRatioLr
slump_risk_predict,OtherCurrentAssetsAbnormal
slump_risk_predict,OtherCurrentAssetsRatioGrwothLr
slump_risk_predict,OtherCurrentAssetsRatioLr
slump_risk_predict,OverARTurnoverIndustryDeviation
slump_risk_predict,OverAssetsTurnoverIndustryDeviation
slump_risk_predict,OverCashInterestMultipleIndustryDeviation
slump_risk_predict,OverCashRecoveryRateIndustryDeviation
slump_risk_predict,OverGoodWill
slump_risk_predict,OverGrossMarginIndustryDeviation
slump_risk_predict,OverGrossMarginStd
slump_risk_predict,OverIntangibleAssets
slump_risk_predict,OverInterestExpense2InterestBearingDebt
slump_risk_predict,OverInterestMultipleIndustryDeviation
slump_risk_predict,OverInventoryTurnoverDeviation
slump_risk_predict,OverLeverageIndusstryDeviation
slump_risk_predict,OverLiabilityGrowth
slump_risk_predict,OverLiabilitySupport
slump_risk_predict,OverLiquidityIndustryDeviation
slump_risk_predict,OverNetProfitIndustryDeviation
slump_risk_predict,OverNonOperIncomeRatio
slump_risk_predict,OverQuickLiquidityIndustryDeviation
slump_risk_predict,OverRecurNetProfitIndustryDeviation
slump_risk_predict,OverRecurRoaIndustryDeviation
slump_risk_predict,OverRoaIndustryDeviation
slump_risk_predict,ParentEquityAbnormal
slump_risk_predict,ProfitAbnormal
slump_risk_predict,QuarterRevenueAbnormal
slump_risk_predict,QuickRatioIndustryDeviationLr
slump_risk_predict,RecurNetprofitIndustryDeviationTtm
slump_risk_predict,RecurRoaIndustryDeviationttm
slump_risk_predict,RegularAbnormal
slump_risk_predict,RevenueAbnormal
slump_risk_predict,RevenueAndARGrowthDeviationAbnormal
slump_risk_predict,RevenueGrowthAbnormal
slump_risk_predict,RoaIndustryDeviationttm
slump_risk_predict,SAFRExpenseAdjustDeviationLyr
slump_risk_predict,SAFRExpenseGrowthTtm
slump_risk_predict,SAFRExpenseRatioGrowthLyr
slump_risk_predict,SAFRExpenseRatioGrowthTtm
slump_risk_predict,SAFRExpenseRatioTtm
slump_risk_predict,SolvencyAbnormal
slump_risk_predict,STDebt2CurrentLiabilityLr
slump_risk_predict,STLoan2CashLr
slump_risk_predict,TaxAbnormal
slump_risk_predict,UnderCashRatio
slump_risk_predict,UnderEBIT2InterestBearingDebt
slump_risk_predict,UnderInterestRate
slump_risk_predict,UnderNetOperateCashFlow2OperateProfit
slump_risk_predict,UnderOperateCashIn2Revenue
slump_risk_training,
SolvencyAbnormal,OverInterestExpense2InterestBearingDebt
SolvencyAbnormal,OverInterestMultipleIndustryDeviation
SolvencyAbnormal,OverLeverageIndusstryDeviation
SolvencyAbnormal,OverLiquidityIndustryDeviation
SolvencyAbnormal,OverQuickLiquidityIndustryDeviation
SolvencyAbnormal,UnderEBIT2InterestBearingDebt
SolvencyAbnormal_v2,OverInterestExpense2InterestBearingDebt
SolvencyAbnormal_v2,OverInterestMultipleIndustryDeviation
SolvencyAbnormal_v2,OverLeverageIndusstryDeviation
SolvencyAbnormal_v2,OverLiabilityGrowth
SolvencyAbnormal_v2,OverLiabilitySupport
SolvencyAbnormal_v2,OverLiquidityIndustryDeviation
SolvencyAbnormal_v2,OverQuickLiquidityIndustryDeviation
SolvencyAbnormal_v2,ParentEquityAbnormal
SolvencyAbnormal_v2,RealEstateRedLine_v2
SolvencyAbnormal_v2,UnderEBIT2InterestBearingDebt
SPandRevenueGrowthConflict,SPandRevenueGrowthDeviationLyr
SPandRevenueGrowthDeviationLyr,
stacking_scoring_model_v2,expert_scoring_model_v2
stacking_scoring_model_v2,IFEffect_v2
stacking_scoring_model_v2,machine_scoring_model_v2
STDebt2CurrentLiabilityLr,
STDebt2CurrentLiabilityLrStar,
std_upside_1m_21d_std_ratio,
STLoan2CashLr,
STLoan2CashLrStar,
style_allocation_ability,dep_style_allocation_ability
style_shift_ability,dep_style_shift_ability
SW3,
TaxAbnormal,IncomeTaxAbnormal
TaxAbnormal_v2,IncomeTaxAbnormal
TermStability,
test0628,
test0629,test0628
test_03_indi_p,
test_high_yield_bond_download,fin_notes_asset_debt_1
test_high_yield_bond_download,fin_notes_asset_debt_2
test_high_yield_bond_download,fin_notes_gov_relation
test_high_yield_bond_download,fin_notes_profit
test_high_yield_bond_download,fin_notes_related_trade
test_high_yield_bond_download,fin_notes_restricted_asset
test_update_20220330,
test_zdf_0010,
TM_model_stock_selection_ability,
TotalSharesAbove5PercentShareholders,
trendstrength_1m_21d_mean,
t_cll_001,
UnderCashRatio,CashRatioLr
UnderEBIT2InterestBearingDebt,EBIT2InterestBearingDebtLyr
UnderInterestRate,ComputedInterestRatioLyr
UnderInterestRate_v2,ComputedInterestRatioLyr
UnderNetOperateCashFlow2OperateProfit,NetOperateCashFlow2NetOperateProfitTtm
UnderNetOperateCashFlow2OperateProfit_v2,NetOperateCashFlow2NetOperateProfitTtm
UnderOperateCashIn2Revenue,NetOperateCashFlowGrowth2RevenueGrwothTtm
UnderOperateCashIn2Revenue_v2,NetOperateCashFlowGrowth2RevenueGrwothTtm_v2
vote_AdvancedPaymentAbnormal_v2,AdvancedPaymentRatioLr
vote_AuditAbnormal_v2,OpinionAbnormal
vote_Expense2RevenueGrowthAbnormal_v2,SAFRExpenseRatioGrowthTtm
vote_InventoryAbnormal_v2,InventoryRatioLyr
vote_NegeRevenueGrowth_v2,OperateRevenueGrowthTtm
vote_OtherARAbnroaml_v2,OtherARRatioLr
vote_OverLiabilitySupport_v2,Liability2AssetsLr
vote_UnderCashRatio_v2,CashRatioLr
vote_UnderEBIT2InterestBearingDebt_v2,EBIT2InterestBearingDebtLyr
WorkingCapitalTurnoverRate,
WorkingCapitalTurnoverRateDev,
WorkingCapitalTurnoverRateDeviation,
yjl_InterestBearingDebt3YearCompoundGrowthRate,
yjl_InterestBearingDebtAndInvestmentCashOutflowRatioGrowthDifference,
yjl_InvestmentCashOutflowRatio3YearCompoundGrowthRate,
